TL,TSM,1,0,2018/01/20,1
100,OPT,1,0
CG,GGS,1,0
FOX,FLY,1,0
CLG,C9,0,1
OPT,TL,0,1,2018/01/21
FLY,TSM,1,0
100,CLG,1,0
GGS,C9,0,1
FOX,CG,1,0
CG,CLG,1,0,2018/01/27,2
TSM,OPT,1,0
C9,FOX,0,1
100,TL,1,0
GGS,FLY,0,1
FOX,TSM,1,0,2018/01/28
C9,100,1,0
OPT,FLY,1,0
GGS,CLG,0,1
TL,CG,1,0
CLG,FOX,1,0,2018/02/03,3
C9,OPT,1,0
CG,100,0,1
FLY,TL,0,1
TSM,GGS,1,0
FOX,OPT,1,0,2018/02/04
100,TSM,0,1
GGS,TL,0,1
CG,C9,0,1
CLG,FLY,1,0
TSM,CG,0,1,2018/02/10,4
TL,C9,0,1
OPT,CLG,1,0
100,FLY,0,1
FOX,GGS,1,0
C9,FLY,1,0,2018/02/11
100,GGS,0,1
TSM,CLG,1,0
TL,FOX,0,1
OPT,CG,0,1
CLG,TL,0,1,2018/02/17,5
FOX,100,1,0
C9,TSM,1,0
CG,FLY,1,0
OPT,GGS,1,0
CG,TSM,1,0,2018/02/18
GGS,TL,1,0
FOX,C9,1,0
100,CLG,1,0
FLY,OPT,1,0
100,C9,1,0,2018/02/24,6
CLG,CG,0,1
TSM,FOX,1,0
GGS,OPT,0,1
TL,FLY,1,0
OPT,TSM,0,1,2018/02/25
FLY,100,0,1
FOX,TL,1,0
CLG,GGS,0,1
C9,CG,1,0
TL,100,1,0,2018/03/03,7
TSM,FLY,1,0
CLG,C9,1,0
GGS,FOX,1,0
CG,OPT,1,0
CLG,TL,1,0,2018/03/04
OPT,FOX,0,1
100,TSM,1,0
C9,GGS,1,0
FLY,CG,0,1
CG,FOX,1,0,2018/03/10,8
FLY,CLG,0,1
OPT,C9,0,1
TSM,TL,1,0
100,GGS,1,0
FOX,CLG,0,0,2018/03/11
FLY,GGS,0,0
CG,TL,0,0
TSM,C9,0,0
OPT,100,0,0
100,CG,0,0,2018/03/17,9
FLY,FOX,0,0
TL,C9,0,0
GGS,TSM,0,0
CLG,OPT,0,0
C9,FLY,0,0,2018/03/18
GGS,CG,0,0
CLG,TSM,0,0
FOX,100,0,0
TL,OPT,0,0
